id,år,runde,dato,H,U,HM,UM,Tilskuere,Sejr,Hsejr,Usejr,Uafgjort,skud_h,skud_u,skudindenfor_h,skudindenfor_u,hjorne_h,hjorne_u,offside_h,offside_u,frispark_h,frispark_u,boldb_h,boldb_u
4697,2015/2016,1,7/19/2015,OB,HOB,3,0,13934,1,1,0,0,27,25.5,14,12,9,6,2,4,21,21,105,95
4698,2015/2016,1,7/19/2015,AGF,BIF,2,1,19574,1,1,0,0,22,25.5,10,7,8,12,4,6,20,31,98,102
4699,2015/2016,1,7/18/2015,FCM,VFF,2,0,13369,1,1,0,0,27,17.5,8,5,9,6,3,4,27,25,107,93
4700,2015/2016,1,7/17/2015,FCN,SDR,0,2,9348,3,0,1,0,24,24.5,8,13,9,8,4,2,19,20,114,86
4701,2015/2016,1,7/20/2015,AaB,EFB,1,1,13901,2,0,0,1,33,29.5,11,12,9,14,2,3,19,28,108,92
4702,2015/2016,1,9/16/2015,FCK,RFC,3,0,16332,1,1,0,0,22,20.5,9,7,10,5,4,3,25,25,107,93
4703,2015/2016,2,7/26/2015,RFC,FCN,3,0,9526,1,1,0,0,24,22.5,9,7,6,5,7,3,20,21,97,103
4704,2015/2016,2,7/24/2015,SDR,FCM,1,2,11382,3,0,1,0,26,20.5,10,6,12,5,3,4,25,26,104,96
4705,2015/2016,2,7/27/2015,VFF,AGF,0,0,12455,2,0,0,1,25,23.5,9,6,9,7,5,4,26,23,97,103
4706,2015/2016,2,7/26/2015,BIF,OB,1,2,17631,3,0,1,0,30,19.5,11,9,12,7,2,3,26,24,107,93
4707,2015/2016,2,7/24/2015,HOB,AaB,0,1,10823,3,0,1,0,19,30.5,8,12,7,11,8,4,23,17,93,107
4708,2015/2016,2,7/26/2015,EFB,FCK,1,2,15392,3,0,1,0,23,22.5,8,6,7,7,3,8,25,23,104,96
4709,2015/2016,3,8/2/2015,BIF,HOB,0,2,15635,3,0,1,0,30,24.5,8,10,14,10,3,4,20,22,107,93
4710,2015/2016,3,7/31/2015,FCM,OB,1,0,12614,1,1,0,0,32,17.5,10,5,16,4,2,3,26,24,108,92
4711,2015/2016,3,8/3/2015,FCN,AaB,2,1,9404,1,1,0,0,29,22.5,11,8,11,7,3,4,30,22,101,99
4712,2015/2016,3,8/2/2015,SDR,FCK,1,3,12379,3,0,1,0,24,27.5,7,11,6,10,5,5,24,21,92,108
4713,2015/2016,3,7/31/2015,VFF,EFB,2,1,9694,1,1,0,0,32,31.5,11,8,9,9,5,4,23,22,98,102
4714,2015/2016,3,8/2/2015,AGF,RFC,3,2,16669,1,1,0,0,20,20.5,10,10,10,10,5,5,27,22,107,93
4715,2015/2016,4,8/9/2015,RFC,BIF,3,3,13549,2,0,0,1,25,25.5,11,10,8,8,6,4,23,23,97,103
4716,2015/2016,4,8/8/2015,HOB,VFF,1,1,9442,2,0,0,1,20,23.5,7,7,5,11,2,2,21,23,98,102
4717,2015/2016,4,8/9/2015,EFB,SDR,0,4,13637,3,0,1,0,28,29.5,9,10,10,8,4,4,25,17,107,93
4718,2015/2016,4,8/9/2015,FCK,FCN,1,1,17859,2,0,0,1,24,21.5,9,7,11,6,8,2,22,30,100,100
4719,2015/2016,4,8/10/2015,AaB,FCM,0,2,13214,3,0,1,0,18,29.5,6,11,13,15,2,7,23,19,102,98
4720,2015/2016,4,8/7/2015,OB,AGF,2,2,16069,2,0,0,1,24,27.5,9,10,9,10,5,3,19,26,99,101
4721,2015/2016,5,8/17/2015,SDR,HOB,3,0,10341,1,1,0,0,26,20.5,13,8,12,7,3,5,24,27,99,101
4722,2015/2016,5,8/16/2015,VFF,BIF,0,4,13884,3,0,1,0,26,25.5,8,11,16,4,6,4,20,24,104,96
4723,2015/2016,5,8/15/2015,AGF,AaB,2,3,16251,3,0,1,0,35,22.5,13,11,14,5,4,3,24,17,107,93
4724,2015/2016,5,8/14/2015,FCM,FCK,0,0,16959,2,0,0,1,19,20.5,7,6,8,14,7,4,26,22,102,98
4725,2015/2016,5,8/16/2015,FCN,EFB,1,2,8841,3,0,1,0,24,21.5,10,7,9,8,6,4,29,22,108,92
4726,2015/2016,5,8/16/2015,OB,RFC,2,3,13829,3,0,1,0,25,27.5,11,9,9,13,8,2,16,23,106,94
4727,2015/2016,6,8/23/2015,RFC,VFF,0,1,11484,3,0,1,0,18,25.5,7,11,7,11,4,3,19,26,110,90
4728,2015/2016,6,8/23/2015,BIF,SDR,1,0,17513,1,1,0,0,32,19.5,11,7,12,6,4,5,23,21,116,84
4729,2015/2016,6,8/21/2015,HOB,FCN,1,3,8144,3,0,1,0,20,26.5,7,12,7,7,9,4,23,21,95,105
4730,2015/2016,6,8/23/2015,EFB,FCM,1,1,11393,2,0,0,1,22,23.5,8,9,10,5,5,3,25,19,108,92
4731,2015/2016,6,8/23/2015,FCK,AGF,2,2,24974,2,0,0,1,26,28.5,10,10,7,8,3,2,21,26,105,95
4732,2015/2016,6,8/24/2015,AaB,OB,5,1,14178,1,1,0,0,32,19.5,16,8,11,7,3,3,20,18,109,91
4733,2015/2016,7,8/30/2015,FCM,HOB,2,0,12145,1,1,0,0,25,26.5,10,4,9,4,3,8,18,31,107,93
4734,2015/2016,7,8/30/2015,FCN,BIF,0,2,12592,3,0,1,0,25,24.5,8,11,8,11,9,7,23,19,101,99
4735,2015/2016,7,8/29/2015,SDR,VFF,2,1,10482,1,1,0,0,23,21.5,8,6,8,9,3,4,20,22,93,107
4736,2015/2016,7,8/30/2015,OB,FCK,1,0,16176,1,1,0,0,25,31.5,12,10,9,15,3,2,20,23,98,102
4737,2015/2016,7,8/28/2015,AGF,EFB,0,0,17458,2,0,0,1,36,17.5,10,7,14,7,7,3,17,16,107,93
4738,2015/2016,7,8/30/2015,AaB,RFC,0,2,12325,3,0,1,0,22,20.5,8,9,10,7,2,7,17,23,111,89
4739,2015/2016,8,9/13/2015,RFC,SDR,1,0,10065,1,1,0,0,30,14.5,8,5,16,8,4,2,23,21,114,86
4740,2015/2016,8,9/12/2015,VFF,FCN,0,1,9391,3,0,1,0,24,26.5,7,6,10,8,5,2,32,24,96,104
4741,2015/2016,8,9/13/2015,BIF,FCM,0,0,17672,2,0,0,1,31,21.5,10,7,15,5,2,3,31,23,107,93
4742,2015/2016,8,9/11/2015,HOB,AGF,0,3,9487,3,0,1,0,19,25.5,8,9,6,11,5,6,29,18,91,109
4743,2015/2016,8,9/14/2015,EFB,OB,4,2,11466,1,1,0,0,36,27.5,12,6,8,11,2,3,22,21,94,106
4744,2015/2016,8,9/13/2015,FCK,AaB,4,2,19390,1,1,0,0,27,15.5,12,6,14,9,7,2,20,15,101,99
4745,2015/2016,9,9/20/2015,FCK,HOB,1,0,18051,1,1,0,0,26,15.5,11,4,14,5,7,3,17,27,112,88
4746,2015/2016,9,9/20/2015,AaB,BIF,4,1,15413,1,1,0,0,24,27.5,11,12,8,7,4,5,21,28,101,99
4747,2015/2016,9,9/19/2015,OB,VFF,2,0,11944,1,1,0,0,21,24.5,9,6,6,7,3,3,18,23,111,89
4748,2015/2016,9,9/18/2015,AGF,SDR,1,2,12871,3,0,1,0,22,27.5,9,7,12,12,6,2,21,20,111,89
4749,2015/2016,9,9/20/2015,FCM,FCN,0,1,14143,3,0,1,0,26,14.5,6,7,9,5,6,3,22,23,105,95
4750,2015/2016,9,9/21/2015,EFB,RFC,0,2,11712,3,0,1,0,25,28.5,8,9,10,9,4,4,18,22,94,106
4751,2015/2016,10,9/27/2015,RFC,FCM,0,2,13901,3,0,1,0,22,28.5,8,10,11,11,3,5,20,18,107,93
4752,2015/2016,10,9/27/2015,FCN,AGF,2,0,12008,1,1,0,0,21,19.5,11,8,11,11,3,2,27,16,101,99
4753,2015/2016,10,9/25/2015,SDR,OB,4,0,11189,1,1,0,0,23,19.5,12,5,8,8,3,3,19,17,99,101
4754,2015/2016,10,9/25/2015,VFF,AaB,1,0,11274,1,1,0,0,26,20.5,9,7,6,6,6,2,23,19,86,114
4755,2015/2016,10,9/27/2015,BIF,FCK,1,0,28418,1,1,0,0,24,24.5,9,6,12,13,2,10,24,18,99,101
4756,2015/2016,10,9/28/2015,HOB,EFB,2,2,8269,2,0,0,1,29,25.5,8,7,9,8,5,5,20,22,98,102
4757,2015/2016,11,10/3/2015,RFC,HOB,2,1,11508,1,1,0,0,26,18.5,9,7,12,8,6,3,19,28,108,92
4758,2015/2016,11,10/4/2015,BIF,EFB,1,1,17484,2,0,0,1,33,29.5,11,9,13,10,3,3,19,23,103,97
4759,2015/2016,11,10/4/2015,FCK,VFF,1,0,19278,1,1,0,0,31,22.5,11,7,13,7,4,2,17,21,113,87
4760,2015/2016,11,10/4/2015,AaB,SDR,5,0,11655,1,1,0,0,25,20.5,16,8,11,6,6,4,21,19,107,93
4761,2015/2016,11,10/2/2015,FCN,OB,1,5,10948,3,0,1,0,21,27.5,7,11,10,10,2,5,26,26,107,93
4762,2015/2016,11,10/4/2015,FCM,AGF,2,0,11741,1,1,0,0,23,20.5,8,9,12,5,6,2,22,27,105,95
4763,2015/2016,12,10/19/2015,EFB,AaB,1,2,11598,3,0,1,0,27,31.5,9,13,10,10,4,2,23,19,98,102
4764,2015/2016,12,10/18/2015,AGF,FCN,3,0,12799,1,1,0,0,28,22.5,12,6,10,10,6,3,23,21,94,106
4765,2015/2016,12,10/18/2015,FCK,HOB,3,1,16595,1,1,0,0,25,17.5,11,5,11,4,4,6,21,25,110,90
4766,2015/2016,12,10/17/2015,OB,SDR,1,2,11754,3,0,1,0,26,23.5,9,10,10,7,4,3,26,20,110,90
4767,2015/2016,12,10/16/2015,FCM,RFC,2,1,14005,1,1,0,0,27,21.5,10,7,7,12,3,3,18,22,101,99
4768,2015/2016,12,10/18/2015,VFF,BIF,0,2,11828,3,0,1,0,36,20.5,10,8,16,7,3,3,18,23,101,99
4769,2015/2016,13,10/23/2015,HOB,AGF,3,1,8882,1,1,0,0,25,25.5,12,8,10,7,6,5,25,18,93,107
4770,2015/2016,13,10/25/2015,FCN,AaB,3,0,9938,1,1,0,0,25,20.5,11,7,9,10,5,4,27,17,101,99
4771,2015/2016,13,10/25/2015,BIF,FCM,2,1,17787,1,1,0,0,25,21.5,8,8,11,6,3,3,22,24,110,90
4772,2015/2016,13,10/26/2015,RFC,OB,1,1,10346,2,0,0,1,31,16.5,11,7,9,8,4,3,23,22,110,90
4773,2015/2016,13,10/25/2015,SDR,FCK,1,2,14347,3,0,1,0,23,30.5,9,10,6,9,3,3,24,23,97,103
4774,2015/2016,13,10/24/2015,VFF,EFB,4,2,9632,1,1,0,0,29,28.5,13,10,13,12,10,3,21,17,96,104
4775,2015/2016,14,10/30/2015,EFB,FCN,2,1,11280,1,1,0,0,29,17.5,10,7,10,11,6,4,24,25,105,95
4776,2015/2016,14,11/1/2015,AaB,HOB,6,0,14492,1,1,0,0,41,18.5,16,5,13,5,3,5,14,17,110,90
4777,2015/2016,14,11/2/2015,AGF,SDR,0,0,11377,2,0,0,1,25,19.5,6,4,12,5,4,4,22,33,113,87
4778,2015/2016,14,11/1/2015,FCK,RFC,4,0,22629,1,1,0,0,23,26.5,11,8,11,8,3,5,18,20,99,101
4779,2015/2016,14,11/1/2015,OB,BIF,2,5,16409,3,0,1,0,27,30.5,14,14,7,10,7,2,19,18,101,99
4780,2015/2016,14,10/31/2015,FCM,VFF,2,4,13205,3,0,1,0,27,26.5,11,8,10,11,2,4,26,27,102,98
4781,2015/2016,15,11/6/2015,RFC,AGF,4,1,12160,1,1,0,0,21,22.5,10,7,6,10,5,3,25,20,99,101
4782,2015/2016,15,11/6/2015,SDR,AaB,1,2,9992,3,0,1,0,29,24.5,9,9,9,11,6,5,19,19,94,106
4783,2015/2016,15,11/7/2015,HOB,FCN,0,1,7841,3,0,1,0,19,22.5,6,10,13,5,4,3,22,29,93,107
4784,2015/2016,15,11/8/2015,VFF,OB,0,1,9940,3,0,1,0,26,28.5,7,9,12,8,2,5,20,20,95,105
4785,2015/2016,15,11/8/2015,BIF,FCK,0,0,31239,2,0,0,1,24,22.5,7,6,11,8,4,6,22,21,112,88
4786,2015/2016,15,11/8/2015,FCM,EFB,5,1,13331,1,1,0,0,35,18.5,16,5,13,8,4,2,22,21,109,91
4787,2015/2016,16,11/22/2015,EFB,HOB,4,4,11285,2,0,0,1,36,18.5,15,10,14,6,4,6,20,22,114,86
4788,2015/2016,16,11/21/2015,FCN,SDR,1,2,9079,3,0,1,0,19,25.5,10,10,7,10,5,3,24,26,112,88
4789,2015/2016,16,11/23/2015,AaB,RFC,3,2,11968,1,1,0,0,31,23.5,15,8,10,7,4,4,18,26,111,89
4790,2015/2016,16,11/22/2015,AGF,BIF,1,1,12331,2,0,0,1,29,18.5,9,5,12,9,5,2,21,27,105,95
4791,2015/2016,16,11/22/2015,FCK,VFF,0,0,13922,2,0,0,1,30,23.5,9,7,10,7,2,6,25,21,105,95
4792,2015/2016,16,11/20/2015,OB,FCM,1,1,10638,2,0,0,1,30,23.5,11,7,19,8,2,2,20,32,106,94
4793,2015/2016,17,11/27/2015,VFF,AGF,1,0,9408,1,1,0,0,25,21.5,9,7,11,7,5,4,28,18,97,103
4794,2015/2016,17,11/29/2015,BIF,AaB,0,2,16195,3,0,1,0,29,21.5,10,8,9,10,6,2,21,22,100,100
