id,år,runde,dato,H,U,HM,UM,Tilskuere,Sejr,Hsejr,Usejr,Uafgjort
1,1991,1,3/16/1991,AGF,BIF,1,2,6600,3,0,1,0
2,1991,1,3/17/1991,IFS,LBK,1,0,2270,1,1,0,0
3,1991,1,3/17/1991,AaB,VB,1,1,6700,2,0,0,1
4,1991,1,3/17/1991,B1903,SIF,1,1,1302,2,0,0,1
5,1991,1,3/17/1991,BKF,OB,3,0,3434,1,1,0,0
6,1991,2,3/24/1991,SIF,AaB,1,1,3741,2,0,0,1
7,1991,2,3/24/1991,OB,AGF,0,0,3607,2,0,0,1
8,1991,2,3/24/1991,LBK,B1903,4,1,3024,1,1,0,0
9,1991,2,3/24/1991,VB,BKF,1,2,2618,3,0,1,0
10,1991,2,3/24/1991,BIF,IFS,2,1,4419,1,1,0,0
11,1991,3,4/1/1991,IFS,AGF,1,1,2900,2,0,0,1
12,1991,3,4/1/1991,BKF,SIF,2,2,3745,2,0,0,1
13,1991,3,4/1/1991,B1903,BIF,0,1,5575,3,0,1,0
14,1991,3,4/1/1991,VB,OB,0,0,2970,2,0,0,1
15,1991,3,4/1/1991,AaB,LBK,1,2,7100,3,0,1,0
16,1991,4,4/6/1991,BIF,AaB,2,2,3141,2,0,0,1
17,1991,4,4/7/1991,SIF,VB,0,0,3056,2,0,0,1
18,1991,4,4/7/1991,AGF,B1903,2,1,3700,1,1,0,0
19,1991,4,4/7/1991,OB,IFS,3,0,2618,1,1,0,0
20,1991,4,4/7/1991,LBK,BKF,1,1,5751,2,0,0,1
21,1991,5,4/14/1991,AaB,AGF,4,1,9700,1,1,0,0
22,1991,5,4/14/1991,SIF,OB,2,2,3025,2,0,0,1
23,1991,5,4/14/1991,B1903,IFS,0,0,799,2,0,0,1
24,1991,5,4/14/1991,VB,LBK,0,2,2520,3,0,1,0
25,1991,5,4/14/1991,BKF,BIF,1,1,11529,2,0,0,1
26,1991,6,4/20/1991,BIF,VB,3,1,2855,1,1,0,0
27,1991,6,4/21/1991,OB,B1903,0,0,3040,2,0,0,1
28,1991,6,4/21/1991,IFS,AaB,0,0,3014,2,0,0,1
29,1991,6,4/21/1991,AGF,BKF,2,1,4900,1,1,0,0
30,1991,6,4/21/1991,LBK,SIF,5,2,2222,1,1,0,0
31,1991,7,4/28/1991,VB,AGF,1,1,2613,2,0,0,1
32,1991,7,4/28/1991,SIF,BIF,1,0,4252,1,1,0,0
33,1991,7,4/28/1991,AaB,B1903,4,1,5400,1,1,0,0
34,1991,7,4/28/1991,BKF,IFS,1,0,2256,1,1,0,0
35,1991,7,4/28/1991,LBK,OB,1,0,2219,1,1,0,0
36,1991,8,5/5/1991,OB,AaB,1,1,2134,2,0,0,1
37,1991,8,5/5/1991,IFS,VB,0,2,2086,3,0,1,0
38,1991,8,5/5/1991,B1903,BKF,0,1,1321,3,0,1,0
39,1991,8,5/5/1991,BIF,LBK,0,3,8207,3,0,1,0
40,1991,8,5/5/1991,AGF,SIF,2,1,5100,1,1,0,0
41,1991,9,5/12/1991,OB,BIF,1,1,5226,2,0,0,1
42,1991,9,5/12/1991,BKF,AaB,1,2,3085,3,0,1,0
43,1991,9,5/12/1991,SIF,IFS,1,0,3191,1,1,0,0
44,1991,9,5/12/1991,LBK,AGF,2,1,3003,1,1,0,0
45,1991,9,5/12/1991,VB,B1903,1,0,2259,1,1,0,0
46,1991,10,5/16/1991,B1903,VB,3,0,712,1,1,0,0
47,1991,10,5/16/1991,AGF,LBK,1,1,4900,2,0,0,1
48,1991,10,5/16/1991,IFS,SIF,1,2,2419,3,0,1,0
49,1991,10,5/16/1991,AaB,BKF,1,2,7800,3,0,1,0
50,1991,10,5/16/1991,BIF,OB,0,0,2708,2,0,0,1
51,1991,11,5/20/1991,OB,BKF,1,1,3261,2,0,0,1
52,1991,11,5/20/1991,LBK,IFS,5,0,2251,1,1,0,0
53,1991,11,5/20/1991,VB,AaB,5,1,2575,1,1,0,0
54,1991,11,5/20/1991,BIF,AGF,0,0,4732,2,0,0,1
55,1991,11,5/20/1991,SIF,B1903,0,1,2784,3,0,1,0
56,1991,12,5/23/1991,BKF,VB,1,1,2288,2,0,0,1
57,1991,12,5/23/1991,AGF,OB,3,1,3800,1,1,0,0
58,1991,12,5/23/1991,AaB,SIF,2,1,4200,1,1,0,0
59,1991,12,5/23/1991,IFS,BIF,0,1,2708,3,0,1,0
60,1991,12,5/23/1991,B1903,LBK,2,0,2888,1,1,0,0
61,1991,13,5/26/1991,OB,VB,4,2,3737,1,1,0,0
